standard_name,gene
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,CILP
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,COL10A1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,COL11A2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,COL28A1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,COL8A1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,COL8A2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,CSPG4
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,EMILIN2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,EMILIN3
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,HAPLN1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,HMCN1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,ITIH1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,ITIH2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,LAMB2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,LOXL4
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_MELANOMA,PXDN
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,MMP1
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,MMP19
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,NGLY1
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,FLG2
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,PLAT
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,S100A16
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,COL17A1
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,COL19A1
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,FBLN5
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,OGN
